Tên trường,Chuyên ngành,Ngành,Mã ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại Học Hoa Sen,Unknown,Logistics và Quản lý chuỗi cung ứng,7510605,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quản trị nhà hàng và dịch vụ ăn uống,7810202,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Ngôn ngữ Anh,7220201,D01, D14, D15, D09,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Mạng máy tính và Truyền thông dữ liệu,7480102,A00, A01, D01, D07, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quản trị dịch vụ du lịch và lữ hành,7810103,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quản lý tài nguyên và môi trường,7850101,A00, B00, D07, D08,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quản trị công nghệ truyền thông,7340410,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Hệ thống thông tin quản lý,7340405,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Tài chính - Ngân hàng,7340201,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Thiết kế nội thất,7580108,A01, D01, D14, D09,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Thiết kế thời trang,7210404,A01, D01, D14, D09,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Kỹ thuật phần mềm,7480103,A00, A01, D01, D07, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quản trị khách sạn,7810201,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Thiết kế đồ họa,7210403,A01, D01, D14, D09,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quản trị nhân lực,7340404,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Công nghệ thông tin,7480201,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quản trị kinh doanh,7340101,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Kinh doanh quốc tế,7340120,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Tâm lý học,7310401,A01, D01, D08, D09,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Kế toán,7340301,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Marketing,7340115,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Nhật Bản học,7310613,A01, D01, D15, D09,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Hoa Kỳ học,7310640,A01, D01, D15, D09,17.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Nghệ thuật số,7210408,A01, D01, D14, D09,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quản trị sự kiện,7340412,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Bảo hiểm,7340204,A00, A01, D01, D09, D03,18.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Marketing,7340114,A00, A01, D01, D09, D03,16.0,Digital Marketing Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Bất động sản,7340116,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quan hệ công chúng,7320108,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Thương mại điện tử,7340122,A00, A01, D01, D09, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Kinh tế,7340113,A00, A01, D01, D09, D03,16.0,Kinh tế thể thao Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Luật,7380107,A00, A01, D01, D09, D03,16.0,Luật kinh tế Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Luật,7380108,A00, A01, D01, D09, DPillager,7380108,A00, A01, D01, D09, D03,16.0,Luật quốc tế Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Trí tuệ nhân tạo,7480201,A00, A01, D01, D07, D03,16.0,Điểm thi TN THPT
Đại Học Hoa Sen,Unknown,Quay phim,7210304,A01, D01, D14, D09,16.0,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Công nghệ thông tin,7480201CLC,A00, A01,23.46,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Công nghệ kỹ thuật điện tử - viễn thông,7510302,A00,23.0,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Công nghệ kỹ thuật điện tử - viễn thông,7510302,A01,22.0,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Công nghệ kỹ thuật điện, điện tử,7510301,A01,22.5,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Công nghệ kỹ thuật điện, điện tử,7510301,A00,23.5,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Kỹ thuật điện tử - viễn thông,7520207,A01,20.0,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Kỹ thuật điện tử - viễn thông,7520207,A00,21.0,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Công nghệ kỹ thuật môi trường,7510406,A00,16.05,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Công nghệ kỹ thuật môi trường,7510406,B00,17.05,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Sư phạm Lịch sử - Địa lý,7140249,C00,23.0,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Sư phạm khoa học tự nhiên,7140247,A00, B00,24.1,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Khoa học môi trường,7440301,B00,17.05,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Khoa học môi trường,7440301,A00,16.05,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Kỹ thuật phần mềm,7480103,A00, A01,25.31,Điểm thi TN THPT
Đại Học Sài Gòn,Unknown,Quản trị văn phòng,7340406,D01,24.0,Điểm thi TN THPT Môn chính: Văn